,name,party,state,district,context,le,eg
409,Joseph L. Fisher,democrat,Virginia,10,candidate,"[{'year': 1976, 'le': 0.820948958}, {'year': 1978, 'le': 1.001230072}]","[{'year': 1976, 'eg': 0.34129949495749096}, {'year': 1978, 'eg': 0.4329480290784305}]"
410,Joel Pritchard,republican,Washington,1,candidate,"[{'year': 1976, 'le': 0.15443486}, {'year': 1978, 'le': 0.701575409}, {'year': 1980, 'le': 0.130197799}, {'year': 1982, 'le': 0.016371682}]","[{'year': 1976, 'eg': 0.03978206367089566}, {'year': 1978, 'eg': 0.1975856792557925}, {'year': 1980, 'eg': -0.1014036975023207}, {'year': 1982, 'eg': 0.1482497273718648}]"
411,Lloyd Meeds,democrat,Washington,2,candidate,"[{'year': 1976, 'le': 3.491960764}]","[{'year': 1976, 'eg': 0.4975167310817138}]"
412,Don Bonker,democrat,Washington,3,candidate,"[{'year': 1976, 'le': 0.218817189}, {'year': 1978, 'le': 0.45954148200000006}, {'year': 1980, 'le': 2.632473999}, {'year': 1984, 'le': 2.437662161}, {'year': 1986, 'le': 1.304184079}]","[{'year': 1976, 'eg': 0.07244284934071936}, {'year': 1978, 'eg': 0.3272007154720838}, {'year': 1980, 'eg': 0.2466295251187806}, {'year': 1984, 'eg': 0.07849478622827201}, {'year': 1986, 'eg': 0.02900352451137456}]"
413,Mike McCormack,democrat,Washington,4,candidate,"[{'year': 1976, 'le': 1.502235055}, {'year': 1978, 'le': 3.209231837}]","[{'year': 1976, 'eg': 0.3319677057456527}, {'year': 1978, 'eg': 0.2770428098949218}]"
414,Thomas S. Foley,democrat,Washington,5,candidate,"[{'year': 1976, 'le': 2.873720646}, {'year': 1978, 'le': 1.265122919}, {'year': 1980, 'le': 0.97329756}, {'year': 1982, 'le': 2.09370327}, {'year': 1984, 'le': 2.092137802}, {'year': 1986, 'le': 4.223022461}, {'year': 1988, 'le': 2.3401486869999997}, {'year': 1990, 'le': 0.0}, {'year': 1992, 'le': 0.0}]","[{'year': 1976, 'eg': 0.32583308843720943}, {'year': 1978, 'eg': 0.4475346442937165}, {'year': 1980, 'eg': 0.46200400456434215}, {'year': 1982, 'eg': 0.2139553312006574}, {'year': 1984, 'eg': 0.10639043996655068}, {'year': 1986, 'eg': 0.0055459729545580105}, {'year': 1988, 'eg': -0.027770777562752307}, {'year': 1990, 'eg': 0.12379290757120831}, {'year': 1992, 'eg': 0.39642787571832083}]"
415,Norman D. Dicks,democrat,Washington,6,candidate,"[{'year': 1976, 'le': 0.27405244100000004}, {'year': 1980, 'le': 0.19734188}, {'year': 1982, 'le': 0.179306015}, {'year': 1990, 'le': 0.517711131}, {'year': 1992, 'le': 1.96975722}, {'year': 1994, 'le': 0.09565366800000001}, {'year': 1996, 'le': 0.148808479}, {'year': 1998, 'le': 0.049347568}, {'year': 2000, 'le': 0.065549389}, {'year': 2002, 'le': 0.286114424}, {'year': 2004, 'le': 0.28369517899999996}, {'year': 2006, 'le': 0.736415684}, {'year': 2008, 'le': 2.2973006369999998}, {'year': 2010, 'le': 1.020796537}]","[{'year': 1976, 'eg': 0.018391086208549484}, {'year': 1980, 'eg': 0.42726685548946275}, {'year': 1982, 'eg': 0.20629195680273527}, {'year': 1990, 'eg': 0.27269235246187873}, {'year': 1992, 'eg': 0.13777596761867972}, {'year': 1994, 'eg': 0.33320427871373104}, {'year': 1996, 'eg': 0.14338518926709337}, {'year': 1998, 'eg': 0.1325554988334868}, {'year': 2000, 'eg': 0.16379022664724613}, {'year': 2002, 'eg': 0.17150434729490338}, {'year': 2004, 'eg': 0.12029189486889208}, {'year': 2006, 'eg': 0.08802240221344579}, {'year': 2008, 'eg': 0.1627119634371186}, {'year': 2010, 'eg': 0.33921917813454194}]"
416,Brock Adams,democrat,Washington,7,candidate,"[{'year': 1976, 'le': 0.094570555}]","[{'year': 1976, 'eg': 0.02368366444228438}]"
417,Robert H. Mollohan,democrat,West Virginia,1,candidate,"[{'year': 1976, 'le': 0.06935174}, {'year': 1978, 'le': 0.479885732}, {'year': 1980, 'le': 0.027040255}]","[{'year': 1976, 'eg': 0.3393030737583853}, {'year': 1978, 'eg': 0.23172858162977233}, {'year': 1980, 'eg': 0.22747455730600502}]"
418,Harley O. Staggers,democrat,West Virginia,2,candidate,"[{'year': 1976, 'le': 4.849607468}, {'year': 1978, 'le': 4.228687841}]","[{'year': 1976, 'eg': 0.028555164824044323}, {'year': 1978, 'eg': 0.3935334047874241}]"
419,John M. Slack,democrat,West Virginia,3,candidate,"[{'year': 1976, 'le': 1.7128577230000002}, {'year': 1978, 'le': 0.0}]","[{'year': 1976, 'eg': -0.4999921927454991}, {'year': 1978, 'eg': 0.31607486098037507}]"
420,Nick Joe Rahall II,democrat,West Virginia,4,candidate,"[{'year': 1976, 'le': 0.110962786}, {'year': 1980, 'le': 0.296355559}, {'year': 1984, 'le': 0.553137757}, {'year': 1986, 'le': 2.947404385}, {'year': 1988, 'le': 3.554437876}, {'year': 1990, 'le': 2.334960526}, {'year': 1992, 'le': 3.9883515289999996}]","[{'year': 1976, 'eg': 0.22263153332755484}, {'year': 1980, 'eg': -0.03102887087849494}, {'year': 1984, 'eg': 0.16680369020102026}, {'year': 1986, 'eg': 0.07499357460193129}, {'year': 1988, 'eg': 0.27398203243495506}, {'year': 1990, 'eg': 0.4609722475095586}, {'year': 1992, 'eg': 0.18723126721097638}]"
