,name,party,state,district,context,le,eg
1303,Deborah Pryce,republican,Ohio,15,candidate,"[{'year': 1992, 'le': 0.062673459}, {'year': 1994, 'le': 0.17256344899999998}, {'year': 1996, 'le': 0.224747747}, {'year': 1998, 'le': 0.669833958}, {'year': 2000, 'le': 0.802575707}, {'year': 2002, 'le': 0.611035466}, {'year': 2004, 'le': 2.337383242}, {'year': 2006, 'le': 0.699918985}]","[{'year': 1992, 'eg': 0.4381227393537299}, {'year': 1994, 'eg': 0.08401588017232742}, {'year': 1996, 'eg': 0.0840427021193004}, {'year': 1998, 'eg': 0.12748302305169307}, {'year': 2000, 'eg': 0.10401554906003951}, {'year': 2002, 'eg': 0.1682278940663101}, {'year': 2004, 'eg': 0.2995782795970227}, {'year': 2006, 'eg': 0.49522140664741326}]"
1304,Eric Fingerhut,democrat,Ohio,19,candidate,"[{'year': 1992, 'le': 0.09401018800000001}]","[{'year': 1992, 'eg': -0.4473246085836029}]"
1305,"Ernest J. Istook, Jr.",republican,Oklahoma,5,candidate,"[{'year': 1992, 'le': 0.062673459}, {'year': 1994, 'le': 0.019130735}, {'year': 1998, 'le': 4.218139648}, {'year': 2000, 'le': 2.3553099630000003}]","[{'year': 1992, 'eg': 0.4321667475391654}, {'year': 1994, 'eg': 0.0}, {'year': 1998, 'eg': 0.1364969385530948}, {'year': 2000, 'eg': 0.08737794737325402}]"
1306,Elizabeth Furse,democrat,Oregon,1,candidate,"[{'year': 1992, 'le': 0.524473859}, {'year': 1994, 'le': 0.306091756}, {'year': 1996, 'le': 0.253130913}]","[{'year': 1992, 'eg': -0.45944301284361255}, {'year': 1994, 'eg': -0.4988188464854777}, {'year': 1996, 'eg': -0.4338092776844554}]"
1307,Lucien E. Blackwell,democrat,Pennsylvania,2,candidate,"[{'year': 1992, 'le': 0.09401018800000001}]","[{'year': 1992, 'eg': 0.04433521715351498}]"
1308,Ron Klink,democrat,Pennsylvania,4,candidate,"[{'year': 1992, 'le': 0.466093794}, {'year': 1994, 'le': 1.068519831}, {'year': 1996, 'le': 0.216969356}, {'year': 1998, 'le': 0.26215896}]","[{'year': 1992, 'eg': 0.08085843259555653}, {'year': 1994, 'eg': -0.2166136939072348}, {'year': 1996, 'eg': -0.21565534035207748}, {'year': 1998, 'eg': -0.22355506076630485}]"
1309,Tim Holden,democrat,Pennsylvania,6,candidate,"[{'year': 1992, 'le': 0.197299912}, {'year': 1994, 'le': 0.076522939}, {'year': 1996, 'le': 0.625431776}, {'year': 1998, 'le': 0.061684459000000004}, {'year': 2000, 'le': 0.187283963}, {'year': 2002, 'le': 0.144511044}, {'year': 2004, 'le': 0.08690584900000001}, {'year': 2006, 'le': 0.316796333}, {'year': 2008, 'le': 0.349099293}, {'year': 2010, 'le': 0.026842026}]","[{'year': 1992, 'eg': -0.4585733103852773}, {'year': 1994, 'eg': -0.3650217798314348}, {'year': 1996, 'eg': -0.3214243959965231}, {'year': 1998, 'eg': -0.2799689895893621}, {'year': 2000, 'eg': -0.1741485298919602}, {'year': 2002, 'eg': -0.4717821462459822}, {'year': 2004, 'eg': -0.2984173332510813}, {'year': 2006, 'eg': -0.20956917335990263}, {'year': 2008, 'eg': -0.2264150319885793}, {'year': 2010, 'eg': -0.38999278641222374}]"
1310,James C. Greenwood,republican,Pennsylvania,8,candidate,"[{'year': 1992, 'le': 0.112812226}, {'year': 1994, 'le': 0.789069474}, {'year': 1996, 'le': 1.4773974419999998}, {'year': 1998, 'le': 2.092489004}, {'year': 2000, 'le': 4.62220335}, {'year': 2002, 'le': 1.8731287719999998}]","[{'year': 1992, 'eg': 0.4378972340885957}, {'year': 1994, 'eg': 0.10556665510186991}, {'year': 1996, 'eg': 0.261879092620249}, {'year': 1998, 'eg': 0.1938191632928475}, {'year': 2000, 'eg': 0.2944183221133329}, {'year': 2002, 'eg': 0.24816262206228185}]"
1311,Marjorie Margolies-Mezvinsky,democrat,Pennsylvania,13,candidate,"[{'year': 1992, 'le': 0.22163209899999997}]","[{'year': 1992, 'eg': -0.49459836139796926}]"
1312,Paul McHale,democrat,Pennsylvania,15,candidate,"[{'year': 1992, 'le': 0.17235201100000003}, {'year': 1994, 'le': 0.34817937}, {'year': 1996, 'le': 0.191493064}]","[{'year': 1992, 'eg': -0.4442256848737132}, {'year': 1994, 'eg': -0.49688554029249415}, {'year': 1996, 'eg': -0.36520465355379983}]"
1313,Jack Reed,democrat,Rhode Island,2,candidate,"[{'year': 1992, 'le': 0.387415723}, {'year': 1994, 'le': 0.7508080009999999}]","[{'year': 1992, 'eg': -0.037940346259778}, {'year': 1994, 'eg': -0.14029839722283774}]"
1314,Bob Inglis,republican,South Carolina,4,candidate,"[{'year': 1992, 'le': 0.423045846}, {'year': 1994, 'le': 0.038261469}, {'year': 1996, 'le': 0.16688925}, {'year': 2004, 'le': 0.687857059}, {'year': 2006, 'le': 0.27573967}, {'year': 2008, 'le': 0.027973328999999998}]","[{'year': 1992, 'eg': 0.4712917695680661}, {'year': 1994, 'eg': 0.02922051804579825}, {'year': 1996, 'eg': 0.06857571152819418}, {'year': 2004, 'eg': 0.09194217166677754}, {'year': 2006, 'eg': 0.17730963536022143}, {'year': 2008, 'eg': 0.2681931918886514}]"
1315,"John M. Spratt, Jr.",democrat,South Carolina,5,candidate,"[{'year': 1992, 'le': 2.747370384}, {'year': 1994, 'le': 0.153045878}, {'year': 1998, 'le': 0.033926452999999995}, {'year': 2000, 'le': 0.458113879}, {'year': 2004, 'le': 0.156991212}, {'year': 2006, 'le': 0.912211716}]","[{'year': 1992, 'eg': -0.27516576909212065}, {'year': 1994, 'eg': -0.4572467528966117}, {'year': 1998, 'eg': -0.3221801844407661}, {'year': 2000, 'eg': -0.30712849451903745}, {'year': 2004, 'eg': -0.23899669302897106}, {'year': 2006, 'eg': -0.36157324411660596}]"
1316,James E. Clybrun,democrat,South Carolina,6,candidate,"[{'year': 1992, 'le': 0.122091761}]","[{'year': 1992, 'eg': -0.19439771516354648}]"
1317,Sam Johnson,republican,Texas,3,candidate,"[{'year': 1992, 'le': 0.047005094000000004}, {'year': 1994, 'le': 0.038261469}, {'year': 1996, 'le': 0.932249963}, {'year': 1998, 'le': 1.793606281}, {'year': 2000, 'le': 0.669073641}, {'year': 2002, 'le': 0.863569438}, {'year': 2004, 'le': 1.000575021}, {'year': 2006, 'le': 0.087735355}, {'year': 2008, 'le': 0.142663979}, {'year': 2010, 'le': 0.739323258}, {'year': 2012, 'le': 1.8513276580000002}, {'year': 2014, 'le': 1.923663139}, {'year': 2016, 'le': 2.552876949}]","[{'year': 1992, 'eg': 0.0}, {'year': 1994, 'eg': 0.0}, {'year': 1996, 'eg': 0.014577543507019577}, {'year': 1998, 'eg': 0.0}, {'year': 2000, 'eg': 0.04084239223816997}, {'year': 2002, 'eg': 0.00387003432100848}, {'year': 2004, 'eg': 0.0}, {'year': 2006, 'eg': 0.22399405135289432}, {'year': 2008, 'eg': 0.2828842163459688}, {'year': 2010, 'eg': 0.15063674239446584}, {'year': 2012, 'eg': 0.0}, {'year': 2014, 'eg': 0.0}, {'year': 2016, 'eg': 0.23373843086324955}]"
1318,Henry Bonilla,republican,Texas,23,candidate,"[{'year': 1992, 'le': 1.079902331}, {'year': 1994, 'le': 0.042087615}, {'year': 1996, 'le': 0.7286734579999999}, {'year': 1998, 'le': 0.03084223}, {'year': 2000, 'le': 1.9190380569999999}, {'year': 2002, 'le': 2.092211485}, {'year': 2004, 'le': 3.0426774119999997}, {'year': 2006, 'le': 1.3568717240000001}]","[{'year': 1992, 'eg': 0.29283666071525183}, {'year': 1994, 'eg': 0.2480155364835985}, {'year': 1996, 'eg': 0.24526822063122944}, {'year': 1998, 'eg': 0.21325836820083682}, {'year': 2000, 'eg': 0.29477978131784255}, {'year': 2002, 'eg': 0.45679233753121845}, {'year': 2004, 'eg': 0.10148558029719719}, {'year': 2006, 'eg': 0.03531934829845152}]"
1319,Frank Tejeda,democrat,Texas,28,candidate,"[{'year': 1992, 'le': 0.050138767}, {'year': 1994, 'le': 0.25385442399999997}, {'year': 1996, 'le': 0.148808479}]","[{'year': 1992, 'eg': 0.0}, {'year': 1994, 'eg': -0.0668694610778443}, {'year': 1996, 'eg': 0.01976596982242447}]"
1320,Gene Green,democrat,Texas,29,candidate,"[{'year': 1992, 'le': 0.065807132}, {'year': 1994, 'le': 0.019130735}, {'year': 1996, 'le': 0.07232312099999999}, {'year': 1998, 'le': 0.316365778}, {'year': 2000, 'le': 0.97843492}, {'year': 2002, 'le': 0.371895462}, {'year': 2004, 'le': 0.5453671520000001}, {'year': 2006, 'le': 2.772335291}, {'year': 2008, 'le': 0.9217822040000001}, {'year': 2010, 'le': 0.311367512}, {'year': 2012, 'le': 0.216287568}, {'year': 2014, 'le': 0.15654680099999999}, {'year': 2016, 'le': 0.779661596}]","[{'year': 1992, 'eg': -0.2014988902739351}, {'year': 1994, 'eg': -0.03127185533020282}, {'year': 1996, 'eg': -0.135199842574777}, {'year': 1998, 'eg': 0.0}, {'year': 2000, 'eg': -0.023204156743883958}, {'year': 2002, 'eg': 0.0}, {'year': 2004, 'eg': 0.0}, {'year': 2006, 'eg': -0.008882294757665677}, {'year': 2008, 'eg': 0.007565968125550124}, {'year': 2010, 'eg': -0.1948228475831989}, {'year': 2012, 'eg': 0.0}, {'year': 2014, 'eg': 0.0}, {'year': 2016, 'eg': -0.015070236850479611}]"
1321,Eddie Bernice Johnson,democrat,Texas,30,candidate,"[{'year': 1992, 'le': 0.13776012599999998}, {'year': 1994, 'le': 0.02295688}, {'year': 1996, 'le': 0.054242339}, {'year': 1998, 'le': 0.033926452999999995}, {'year': 2000, 'le': 0.32352238899999997}, {'year': 2002, 'le': 0.209851012}, {'year': 2004, 'le': 0.23943271600000002}, {'year': 2006, 'le': 0.650410712}, {'year': 2008, 'le': 0.31609862}, {'year': 2010, 'le': 0.260367662}, {'year': 2012, 'le': 0.152315184}, {'year': 2014, 'le': 0.15380036800000002}, {'year': 2016, 'le': 0.091139518}]","[{'year': 1992, 'eg': -0.03579839068107491}, {'year': 1994, 'eg': -0.03031506223819261}, {'year': 1996, 'eg': 0.01899674543653601}, {'year': 1998, 'eg': -0.04529040024074631}, {'year': 2000, 'eg': 0.0}, {'year': 2002, 'eg': 0.0007469724663445087}, {'year': 2004, 'eg': 0.0}, {'year': 2006, 'eg': 0.12590686854349026}, {'year': 2008, 'eg': 0.16619112052398322}, {'year': 2010, 'eg': 0.040920177578129116}, {'year': 2012, 'eg': 0.09828398167860138}, {'year': 2014, 'eg': 0.0}, {'year': 2016, 'eg': 0.089431785985212}, {'year': 2018, 'eg': 0.0}]"
1322,Karen Shepgerd,democrat,Utah,2,candidate,"[{'year': 1992, 'le': 0.18802037600000002}]","[{'year': 1992, 'eg': -0.46272270515359587}]"
1323,Robert C. Scott,democrat,Virginia,3,candidate,"[{'year': 1992, 'le': 0.118958088}, {'year': 1994, 'le': 0.063542359}, {'year': 1996, 'le': 0.01808078}, {'year': 1998, 'le': 0.17097747300000002}, {'year': 2000, 'le': 0.046820991}, {'year': 2002, 'le': 0.177715987}, {'year': 2004, 'le': 0.05606829}, {'year': 2006, 'le': 2.546649218}]","[{'year': 1992, 'eg': 0.0736883654947677}, {'year': 1994, 'eg': 0.088866930171278}, {'year': 1996, 'eg': 0.14272459111745073}, {'year': 1998, 'eg': 0.0}, {'year': 2000, 'eg': 0.0}, {'year': 2002, 'eg': 0.0}, {'year': 2004, 'eg': -0.1120874149600682}, {'year': 2006, 'eg': 0.0}]"
1324,L. F. Payne,democrat,Virginia,5,candidate,"[{'year': 1992, 'le': 0.499121341}, {'year': 1994, 'le': 0.11517124599999999}]","[{'year': 1992, 'eg': -0.12192620828240558}, {'year': 1994, 'eg': -0.43430856861769623}]"
1325,Bob Goodlatte,republican,Virginia,6,candidate,"[{'year': 1992, 'le': 0.725298097}, {'year': 1994, 'le': 1.019198775}, {'year': 1996, 'le': 4.597362518}, {'year': 1998, 'le': 2.353790045}, {'year': 2000, 'le': 1.512547135}, {'year': 2002, 'le': 2.387907505}, {'year': 2004, 'le': 3.190255653}, {'year': 2006, 'le': 0.44157373899999997}, {'year': 2008, 'le': 0.055946657999999996}, {'year': 2010, 'le': 1.986794353}, {'year': 2012, 'le': 5.377011776}, {'year': 2014, 'le': 4.179333687}, {'year': 2016, 'le': 4.237635612}]","[{'year': 1992, 'eg': 0.29871467841027505}, {'year': 1994, 'eg': 0.0}, {'year': 1996, 'eg': 0.13839467097376118}, {'year': 1998, 'eg': 0.11400605919366115}, {'year': 2000, 'eg': 0.0}, {'year': 2002, 'eg': 0.0}, {'year': 2004, 'eg': 0.0}, {'year': 2006, 'eg': 0.0}, {'year': 2008, 'eg': 0.25037132833107123}, {'year': 2010, 'eg': 0.0}, {'year': 2012, 'eg': 0.19333082221597872}, {'year': 2014, 'eg': 0.0}, {'year': 2016, 'eg': 0.1651980296032316}]"
1326,Leslie L. Byrne,democrat,Virginia,11,candidate,"[{'year': 1992, 'le': 0.509997259}]","[{'year': 1992, 'eg': -0.45158407513843135}]"
1327,Maria Cantwell,democrat,Washington,1,candidate,"[{'year': 1992, 'le': 0.237052535}]","[{'year': 1992, 'eg': -0.3711782183327558}]"
1328,Jay Inslee,democrat,Washington,4,candidate,"[{'year': 1992, 'le': 0.555133303}, {'year': 1998, 'le': 0.138790041}, {'year': 2000, 'le': 0.850457549}, {'year': 2002, 'le': 0.18262723100000003}, {'year': 2004, 'le': 0.23418814300000002}, {'year': 2006, 'le': 1.121268749}, {'year': 2008, 'le': 3.2233138739999996}, {'year': 2010, 'le': 0.202061713}]","[{'year': 1992, 'eg': -0.4831714252996412}, {'year': 1998, 'eg': -0.4434148883089816}, {'year': 2000, 'eg': -0.38098138890055877}, {'year': 2002, 'eg': -0.35665792014982883}, {'year': 2004, 'eg': -0.23679634132575075}, {'year': 2006, 'eg': -0.14566808714665389}, {'year': 2008, 'eg': -0.14483508202423048}, {'year': 2010, 'eg': -0.3466692720598305}]"
1329,Jennifer Dunn,republican,Washington,8,candidate,"[{'year': 1992, 'le': 0.047005094000000004}, {'year': 1994, 'le': 0.413365483}, {'year': 1996, 'le': 0.289292485}, {'year': 1998, 'le': 0.884528875}, {'year': 2000, 'le': 1.370855451}, {'year': 2002, 'le': 2.392486334}]","[{'year': 1992, 'eg': 0.23559385058740137}, {'year': 1994, 'eg': -0.021433137928418954}, {'year': 1996, 'eg': 0.19218215460998886}, {'year': 1998, 'eg': 0.3053545458551849}, {'year': 2000, 'eg': 0.23406278441120937}, {'year': 2002, 'eg': 0.2752428258784764}]"
1330,Mike Kreidler,democrat,Washington,9,candidate,"[{'year': 1992, 'le': 1.259293165}]","[{'year': 1992, 'eg': -0.41080645691554063}]"
1331,Thomas M. Barrett,democrat,Wisconsin,5,candidate,"[{'year': 1992, 'le': 0.22138417100000002}, {'year': 1994, 'le': 0.210438073}, {'year': 1996, 'le': 0.108484678}, {'year': 1998, 'le': 0.724040806}, {'year': 2000, 'le': 0.12485597300000001}]","[{'year': 1992, 'eg': -0.11030165345722875}, {'year': 1994, 'eg': -0.2393344709897611}, {'year': 1996, 'eg': -0.01293302660345123}, {'year': 1998, 'eg': 0.06581063017803063}, {'year': 2000, 'eg': 0.05659989636009506}]"
1332,Spencer Bachus,republican,Alabama,6,candidate,"[{'year': 1994, 'le': 0.076522939}, {'year': 1996, 'le': 0.253130913}, {'year': 1998, 'le': 2.361769438}, {'year': 2000, 'le': 1.1086579559999998}, {'year': 2002, 'le': 4.393753052}, {'year': 2004, 'le': 2.137118205}, {'year': 2006, 'le': 0.217526212}, {'year': 2008, 'le': 0.083919988}, {'year': 2010, 'le': 1.1137090920000001}, {'year': 2012, 'le': 1.038942099}]","[{'year': 1994, 'eg': -0.08105615068646736}, {'year': 1996, 'eg': 0.06372739436315766}, {'year': 1998, 'eg': 0.06349324155077882}, {'year': 2000, 'eg': 0.0}, {'year': 2002, 'eg': 0.0}, {'year': 2004, 'eg': 0.0}, {'year': 2006, 'eg': 0.0}, {'year': 2008, 'eg': 0.0}, {'year': 2010, 'eg': 0.0}, {'year': 2012, 'eg': 0.0748356063900916}]"
1333,Matt Salmon,republican,Arizona,1,candidate,"[{'year': 1994, 'le': 0.253299385}, {'year': 1996, 'le': 0.23921236399999998}, {'year': 1998, 'le': 1.734468341}, {'year': 2012, 'le': 1.179702401}, {'year': 2014, 'le': 1.16142571}]","[{'year': 1994, 'eg': 0.3301403793948039}, {'year': 1996, 'eg': 0.29635890882629606}, {'year': 1998, 'eg': 0.2075411250882653}, {'year': 2012, 'eg': 0.15619151904899672}, {'year': 2014, 'eg': 0.10844296595955712}]"
1334,John B. Shadegg,republican,Arizona,4,candidate,"[{'year': 1994, 'le': 0.09565366800000001}, {'year': 1996, 'le': 1.309940457}, {'year': 1998, 'le': 0.731518447}, {'year': 2000, 'le': 0.30626186699999997}, {'year': 2002, 'le': 0.315447032}, {'year': 2004, 'le': 2.085824297}, {'year': 2006, 'le': 0.23813881}, {'year': 2008, 'le': 0.167839975}]","[{'year': 1994, 'eg': 0.25785190457034995}, {'year': 1996, 'eg': 0.16438717865653693}, {'year': 1998, 'eg': 0.16514084950447672}, {'year': 2000, 'eg': 0.187503701645125}, {'year': 2002, 'eg': 0.12971024263086595}, {'year': 2004, 'eg': 0.0}, {'year': 2006, 'eg': 0.28966441751075855}, {'year': 2008, 'eg': 0.3799248440004216}]"
1335,J. D. Hayworth,republican,Arizona,6,candidate,"[{'year': 1994, 'le': 2.061290503}, {'year': 1996, 'le': 0.617211461}, {'year': 1998, 'le': 0.980139792}, {'year': 2000, 'le': 2.748462439}, {'year': 2002, 'le': 1.511457443}, {'year': 2004, 'le': 0.608547011}]","[{'year': 1994, 'eg': 0.36872921639431216}, {'year': 1996, 'eg': 0.49031286356140347}, {'year': 1998, 'eg': 0.40627527451534956}, {'year': 2000, 'eg': 0.2422106288075157}, {'year': 2002, 'eg': 0.2508421077426801}, {'year': 2004, 'eg': 0.2869794445667464}]"
1336,Zoe Lofgren,democrat,California,16,candidate,"[{'year': 1994, 'le': 0.31085977}, {'year': 1996, 'le': 0.19888857}, {'year': 1998, 'le': 0.23131673}, {'year': 2000, 'le': 0.70193994}, {'year': 2002, 'le': 0.215832174}, {'year': 2004, 'le': 0.16820487}, {'year': 2006, 'le': 3.122721434}, {'year': 2008, 'le': 2.278517688}, {'year': 2010, 'le': 1.855980873}, {'year': 2012, 'le': 0.246750608}, {'year': 2014, 'le': 0.274643511}, {'year': 2016, 'le': 0.19705842399999998}]","[{'year': 1994, 'eg': -0.20069873084125112}, {'year': 1996, 'eg': -0.14511511308804736}, {'year': 1998, 'eg': -0.005953293474372732}, {'year': 2000, 'eg': -0.01232581723486034}, {'year': 2002, 'eg': -0.12784990646935715}, {'year': 2004, 'eg': -0.054374838847713144}, {'year': 2006, 'eg': -0.0457999838305441}, {'year': 2008, 'eg': -0.027188338601352963}, {'year': 2010, 'eg': -0.06473234310320522}, {'year': 2012, 'eg': -0.03528899477918714}, {'year': 2014, 'eg': 0.0}, {'year': 2016, 'eg': -0.02111541793600501}, {'year': 2018, 'eg': -0.02490706657165292}]"
1337,Sam Farr,democrat,California,17,candidate,"[{'year': 1994, 'le': 0.24908638}, {'year': 1996, 'le': 0.22113159300000002}, {'year': 1998, 'le': 0.278045952}, {'year': 2000, 'le': 0.6409590239999999}, {'year': 2002, 'le': 0.667398095}, {'year': 2004, 'le': 0.493278974}, {'year': 2006, 'le': 0.85954392}, {'year': 2008, 'le': 1.137680644}, {'year': 2010, 'le': 1.4521830080000002}, {'year': 2012, 'le': 0.309907287}, {'year': 2014, 'le': 0.33855602100000004}]","[{'year': 1994, 'eg': -0.4231965453099113}, {'year': 1996, 'eg': -0.28900508834283667}, {'year': 1998, 'eg': -0.1810753624992221}, {'year': 2000, 'eg': -0.060926422686338376}, {'year': 2002, 'eg': -0.08942637445075555}, {'year': 2004, 'eg': -0.12441482808825176}, {'year': 2006, 'eg': 0.0324590534423986}, {'year': 2008, 'eg': -0.019437859211113347}, {'year': 2010, 'eg': -0.13198962607851172}, {'year': 2012, 'eg': -0.01863316806672318}, {'year': 2014, 'eg': 0.0}]"
1338,George P. Radanovich,republican,California,19,candidate,"[{'year': 1994, 'le': 0.818892837}, {'year': 1996, 'le': 0.224747747}, {'year': 1998, 'le': 1.512261391}]","[{'year': 1994, 'eg': 0.3286158563770212}, {'year': 1996, 'eg': 0.11745623343460333}, {'year': 1998, 'eg': 0.0}]"
1339,Andrea H. Seastrand,republican,California,22,candidate,"[{'year': 1994, 'le': 0.812368214}]","[{'year': 1994, 'eg': 0.49252660185256064}]"
1340,Lucille Roybal-Allard,democrat,California,33,candidate,"[{'year': 1994, 'le': 0.038261469}, {'year': 1996, 'le': 0.057858493}, {'year': 1998, 'le': 0.572448015}, {'year': 2000, 'le': 0.156069964}, {'year': 2002, 'le': 0.053127922}, {'year': 2004, 'le': 0.640582772}, {'year': 2006, 'le': 0.844485998}, {'year': 2008, 'le': 0.272262025}, {'year': 2010, 'le': 0.13689433}, {'year': 2012, 'le': 1.034627557}, {'year': 2014, 'le': 0.123589583}, {'year': 2016, 'le': 0.147793815}]","[{'year': 1994, 'eg': 0.0}, {'year': 1996, 'eg': 0.18012035692052292}, {'year': 1998, 'eg': 0.24374924507790796}, {'year': 2000, 'eg': 0.2300303195428316}, {'year': 2002, 'eg': -0.019278682547399124}, {'year': 2004, 'eg': -0.010162325610871199}, {'year': 2006, 'eg': 0.035946751493604566}, {'year': 2008, 'eg': 0.04188418160899749}, {'year': 2010, 'eg': 0.044574182704616036}, {'year': 2012, 'eg': 0.0}, {'year': 2014, 'eg': 0.0}, {'year': 2016, 'eg': 0.0}, {'year': 2018, 'eg': 0.0}]"
1341,Stephan Horn,republican,California,38,candidate,"[{'year': 1994, 'le': 1.524075389}]","[{'year': 1994, 'eg': 0.2836096838148029}]"
1342,Sonny Bono,republican,California,44,candidate,"[{'year': 1994, 'le': 1.270460367}, {'year': 1996, 'le': 0.036161561}]","[{'year': 1994, 'eg': 0.32448071907600595}, {'year': 1996, 'eg': 0.30786140206142504}]"
1343,Brian P. Bilbray,republican,California,49,candidate,"[{'year': 1994, 'le': 2.175301075}, {'year': 1996, 'le': 1.303730607}, {'year': 1998, 'le': 1.82071805}, {'year': 2006, 'le': 0.379684478}, {'year': 2008, 'le': 0.28866423199999997}, {'year': 2010, 'le': 0.335525334}]","[{'year': 1994, 'eg': 0.4748277974188418}, {'year': 1996, 'eg': 0.39288477907606595}, {'year': 1998, 'eg': 0.4778189835003423}, {'year': 2006, 'eg': 0.4036253613204744}, {'year': 2008, 'eg': 0.44939107246524745}, {'year': 2010, 'eg': 0.3230531183163999}]"
1344,Rosa L. Delauro,democrat,Connecticut,3,candidate,"[{'year': 1994, 'le': 0.153045878}]","[{'year': 1994, 'eg': -0.16838698639901914}]"
1345,Joe Scarborough,republican,Florida,1,candidate,"[{'year': 1994, 'le': 0.126262844}, {'year': 1996, 'le': 0.202504724}, {'year': 1998, 'le': 2.2242167}, {'year': 2000, 'le': 0.193116918}]","[{'year': 1994, 'eg': 0.2681070183086312}, {'year': 1996, 'eg': 0.04874353212805871}, {'year': 1998, 'eg': 0.0}, {'year': 2000, 'eg': 0.0}]"
1346,Tillie K. Fowler,republican,Florida,4,candidate,"[{'year': 1994, 'le': 0.28958243100000003}, {'year': 1996, 'le': 1.279118896}]","[{'year': 1994, 'eg': 0.0}, {'year': 1996, 'eg': 0.0}]"
1347,Dan Miller,republican,Florida,13,candidate,"[{'year': 1994, 'le': 0.210824922}, {'year': 1996, 'le': 0.108484678}, {'year': 1998, 'le': 2.3817303180000002}, {'year': 2000, 'le': 0.078034982}]","[{'year': 1994, 'eg': 0.0}, {'year': 1996, 'eg': 0.21259410753453079}, {'year': 1998, 'eg': 0.0}, {'year': 2000, 'eg': 0.22295863012406245}]"
1348,Dve Weldon,republican,Florida,15,candidate,"[{'year': 1994, 'le': 0.09565366800000001}]","[{'year': 1994, 'eg': 0.42419986966618023}]"
1349,Mark Adam Foley,republican,Florida,16,candidate,"[{'year': 1994, 'le': 0.13430199}]","[{'year': 1994, 'eg': 0.33867595654004246}]"
1350,Alcee L Hastings,democrat,Florida,23,candidate,"[{'year': 1994, 'le': 0.21903224300000002}]","[{'year': 1994, 'eg': 0.0}]"
1351,Mac Collins,republican,Georgia,3,candidate,"[{'year': 1994, 'le': 0.038261469}, {'year': 1996, 'le': 0.8570454120000001}, {'year': 1998, 'le': 0.70252198}, {'year': 2000, 'le': 0.362082332}, {'year': 2002, 'le': 0.28888306}]","[{'year': 1994, 'eg': 0.18945311148777197}, {'year': 1996, 'eg': 0.2778737632692884}, {'year': 1998, 'eg': 0.0}, {'year': 2000, 'eg': 0.23008711228274736}, {'year': 2002, 'eg': -0.06661188278815129}]"
1352,Bob Barr,republican,Georgia,7,candidate,"[{'year': 1994, 'le': 2.206651926}, {'year': 1996, 'le': 0.950440884}, {'year': 1998, 'le': 0.7082844970000001}, {'year': 2000, 'le': 0.753543675}]","[{'year': 1994, 'eg': 0.4614843744307542}, {'year': 1996, 'eg': 0.34392642975837834}, {'year': 1998, 'eg': 0.3925261632587345}, {'year': 2000, 'eg': 0.39483515906625133}]"
1353,Saxby Chambliss,republican,Georgia,8,candidate,"[{'year': 1994, 'le': 0.101803824}, {'year': 1996, 'le': 0.15533150699999998}, {'year': 1998, 'le': 0.664795995}, {'year': 2000, 'le': 0.517420471}]","[{'year': 1994, 'eg': 0.24697725158917194}, {'year': 1996, 'eg': 0.4488449122807018}, {'year': 1998, 'eg': 0.25251644550300556}, {'year': 2000, 'eg': 0.3216087844474123}]"
1354,Charlie Norwood,republican,Georgia,10,candidate,"[{'year': 1994, 'le': 1.030645251}, {'year': 1996, 'le': 0.5938153270000001}, {'year': 1998, 'le': 1.190175414}, {'year': 2000, 'le': 0.046820991}, {'year': 2002, 'le': 2.024456978}, {'year': 2004, 'le': 1.873697716}, {'year': 2006, 'le': 0.306725264}]","[{'year': 1994, 'eg': 0.19512054368562912}, {'year': 1996, 'eg': 0.45308939965471895}, {'year': 1998, 'eg': 0.3079727464300382}, {'year': 2000, 'eg': 0.2355324163610952}, {'year': 2002, 'eg': 0.04315452456479234}, {'year': 2004, 'eg': 0.014115893380793073}, {'year': 2006, 'eg': 0.1527212694488793}]"
1355,Helen Chenoweth,republican,Idaho,1,candidate,"[{'year': 1994, 'le': 0.579551697}, {'year': 1996, 'le': 1.533974051}, {'year': 1998, 'le': 0.941604972}]","[{'year': 1994, 'eg': 0.3913392936880439}, {'year': 1996, 'eg': 0.4756626305810906}, {'year': 1998, 'eg': 0.3946867495753695}]"
1356,Michael Patrick Flanagan,republican,Illinois,5,candidate,"[{'year': 1994, 'le': 0.15781389199999998}]","[{'year': 1994, 'eg': 0.41139725275122296}]"
1357,Jerry Weller,republican,Illinois,11,candidate,"[{'year': 1994, 'le': 0.586315751}, {'year': 1996, 'le': 0.500121653}, {'year': 1998, 'le': 1.7278699869999998}, {'year': 2000, 'le': 1.535193086}, {'year': 2002, 'le': 0.653170228}, {'year': 2004, 'le': 0.7598776279999999}, {'year': 2006, 'le': 0.5256265999999999}]","[{'year': 1994, 'eg': 0.2874622026871162}, {'year': 1996, 'eg': 0.4646369957227111}, {'year': 1998, 'eg': 0.3238110549238549}, {'year': 2000, 'eg': 0.37270350706138317}, {'year': 2002, 'eg': 0.21360799647823497}, {'year': 2004, 'eg': 0.32657648494711145}, {'year': 2006, 'eg': 0.3980970913042379}]"
